user_id,usage_intensity,num_devices,has_camera,num_cameras,video_retention_days,daily_api_calls,iot_msg_per_device_per_day,automation_rules,notifications_enabled,cost_cloudfront,cost_apigw,cost_waf,cost_cognito,cost_iot_core,cost_iot_device_mgmt,cost_kvs_compute,cost_kvs_storage,cost_lambda,cost_step_functions,cost_sns,cost_dynamo_compute,cost_dynamo_storage,cost_timestream_compute,cost_timestream_storage,cost_s3_storage,cost_s3_requests,cost_s3_transfer,cost_cloudwatch,cost_network,cost_storage,cost_compute,cost_total_monthly
27,0.5731,11,False,0,7,149.7,365.2,8,True,0.0812,0.0157,0.0127,0.0,0.1405,1.1,0.0,0.0,0.0554,0.06,0.003,0.024,0.0001,0.0603,0.0004,0.0,0.0001,0.0,0.0215,0.0812,0.0005,1.4933,1.575
28,0.5825,10,False,0,30,151.9,370.4,8,True,0.0825,0.0159,0.0127,0.0,0.1293,1.0,0.0,0.0,0.052,0.06,0.0028,0.023,0.0001,0.0556,0.0003,0.0,0.0001,0.0,0.0206,0.0825,0.0005,1.372,1.4549
29,0.5862,3,False,0,14,152.7,372.4,8,True,0.0829,0.016,0.0127,0.0,0.039,0.3,0.0,0.0,0.0224,0.06,0.0008,0.0134,0.0001,0.0168,0.0001,0.0,0.0001,0.0,0.0129,0.0829,0.0002,0.4941,0.5772
30,0.9283,11,False,0,14,233.2,560.6,13,False,0.1263,0.0245,0.0142,0.0,0.205,1.1,0.0,0.0,0.0854,0.0975,0.0,0.0371,0.0001,0.0925,0.0006,0.0,0.0001,0.0,0.0294,0.1263,0.0007,1.6856,1.8127
31,0.4187,9,True,3,14,113.4,280.3,6,True,0.0617,0.0119,0.012,0.0,0.092,0.9,12.5039,14.6213,0.036,0.045,0.0019,0.0163,0.0001,0.0378,0.0002,4.3864,0.9765,1.7164,0.0164,1.7781,19.008,14.6498,35.4359
32,0.3976,3,True,1,7,108.4,268.7,5,True,0.059,0.0114,0.012,0.0,0.0296,0.3,3.9938,2.3357,0.016,0.0375,0.0006,0.0095,0.0001,0.0121,0.0001,0.7007,0.156,0.2742,0.0112,0.3332,3.0366,4.5897,7.9595
33,0.3372,2,False,0,30,94.3,235.5,5,False,0.0513,0.0099,0.0117,0.0,0.0178,0.2,0.0,0.0,0.0114,0.0375,0.0,0.0074,0.0001,0.0071,0.0,0.0,0.0001,0.0,0.01,0.0513,0.0002,0.3127,0.3642
34,0.6232,11,False,0,14,161.5,392.8,9,True,0.0876,0.017,0.0129,0.0,0.1496,1.1,0.0,0.0,0.0597,0.0675,0.0032,0.0259,0.0001,0.0648,0.0004,0.0,0.0001,0.0,0.0227,0.0876,0.0005,1.5233,1.6114
35,0.7258,4,True,3,7,185.6,449.2,10,True,0.1006,0.0195,0.0133,0.0,0.0612,0.4,20.0834,11.7157,0.0323,0.075,0.0013,0.0179,0.0001,0.027,0.0002,3.5147,0.7825,1.3753,0.0155,1.4759,15.2307,21.5288,38.2355
36,0.4772,10,False,0,90,127.1,312.5,7,True,0.0691,0.0134,0.0123,0.0,0.1119,1.0,0.0,0.0,0.0438,0.0525,0.0023,0.0193,0.0001,0.0469,0.0003,0.0,0.0001,0.0,0.0185,0.0691,0.0004,1.321,1.3905
37,0.332,2,False,0,30,93.0,232.6,4,True,0.0507,0.0098,0.0117,0.0,0.0176,0.2,0.0,0.0,0.0111,0.03,0.0003,0.0073,0.0001,0.007,0.0,0.0,0.0001,0.0,0.0099,0.0507,0.0002,0.3047,0.3556
38,0.3351,4,False,0,30,93.7,234.3,5,True,0.051,0.0098,0.0117,0.0,0.0354,0.4,0.0,0.0,0.0167,0.0375,0.0007,0.0091,0.0001,0.0141,0.0001,0.0,0.0001,0.0,0.0114,0.051,0.0002,0.5464,0.5976
39,0.6301,4,True,2,30,163.1,396.6,9,True,0.0885,0.0171,0.0129,0.0,0.0548,0.4,11.8145,29.552,0.0285,0.0675,0.0012,0.0157,0.0001,0.0238,0.0001,8.8656,1.9737,3.4692,0.0145,3.5576,38.4179,14.4243,56.3999
40,0.6487,4,True,3,90,167.4,406.8,9,True,0.0908,0.0176,0.013,0.0,0.0561,0.4,18.1792,136.4022,0.0292,0.0675,0.0012,0.0161,0.0001,0.0244,0.0001,40.9207,9.1094,16.0124,0.0147,16.1033,177.3231,27.9285,221.3549
41,0.6086,9,False,0,14,158.0,384.7,9,True,0.0858,0.0166,0.0128,0.0,0.1202,0.9,0.0,0.0,0.0497,0.0675,0.0026,0.0225,0.0001,0.0519,0.0003,0.0,0.0001,0.0,0.02,0.0858,0.0004,1.264,1.3502
42,0.3669,11,False,0,14,101.2,251.8,5,True,0.0551,0.0106,0.0118,0.0,0.1031,1.1,0.0,0.0,0.038,0.0375,0.0021,0.0165,0.0001,0.0415,0.0002,0.0,0.0001,0.0,0.017,0.0551,0.0004,1.3782,1.4336
43,0.5464,11,False,0,14,143.4,350.5,8,True,0.0779,0.0151,0.0126,0.0,0.1356,1.1,0.0,0.0,0.0532,0.06,0.0029,0.0231,0.0001,0.0578,0.0003,0.0,0.0001,0.0,0.021,0.0779,0.0005,1.4813,1.5597
44,0.5233,9,False,0,14,138.0,337.8,7,True,0.0749,0.0145,0.0125,0.0,0.1075,0.9,0.0,0.0,0.0435,0.0525,0.0023,0.0197,0.0001,0.0456,0.0003,0.0,0.0001,0.0,0.0184,0.0749,0.0004,1.2165,1.2919
45,0.5437,3,False,0,7,142.8,349.1,8,True,0.0775,0.015,0.0126,0.0,0.0369,0.3,0.0,0.0,0.0211,0.06,0.0008,0.0125,0.0001,0.0157,0.0001,0.0,0.0001,0.0,0.0125,0.0775,0.0002,0.4871,0.5648
46,0.6743,12,True,2,7,173.5,420.9,10,True,0.0941,0.0182,0.0131,0.0,0.1733,1.2,12.5413,7.3179,0.0688,0.075,0.0038,0.0293,0.0001,0.0758,0.0005,2.1954,0.4888,0.8591,0.0251,0.9531,9.5138,14.7125,25.1795
47,0.5447,7,True,2,30,143.0,349.6,8,False,0.0776,0.015,0.0126,0.0,0.0861,0.7,10.4093,26.0519,0.0371,0.06,0.0,0.0178,0.0001,0.0367,0.0002,7.8156,1.7399,3.0583,0.0167,3.1359,33.8678,13.1312,50.1348
48,0.6358,7,True,4,30,164.4,399.7,9,True,0.0892,0.0173,0.013,0.0,0.0966,0.7,23.8155,59.5684,0.0424,0.0675,0.0021,0.0204,0.0001,0.042,0.0003,17.8705,3.9782,6.9928,0.0181,7.082,77.4393,28.8131,113.3344
49,0.5135,9,False,0,30,135.7,332.4,7,True,0.0737,0.0142,0.0124,0.0,0.1061,0.9,0.0,0.0,0.0428,0.0525,0.0022,0.0194,0.0001,0.0449,0.0003,0.0,0.0001,0.0,0.0182,0.0737,0.0004,1.2128,1.2869
50,0.5578,10,False,0,14,146.1,356.8,8,False,0.0793,0.0153,0.0126,0.0,0.1252,1.0,0.0,0.0,0.0501,0.06,0.0,0.0221,0.0001,0.0535,0.0003,0.0,0.0001,0.0,0.0201,0.0793,0.0005,1.3591,1.4389
51,0.6263,12,True,3,7,162.2,394.4,9,True,0.088,0.017,0.0129,0.0,0.1638,1.2,17.6265,10.2878,0.0645,0.0675,0.0035,0.0275,0.0001,0.071,0.0004,3.0863,0.6871,1.2077,0.0239,1.2957,13.3747,19.9653,34.6357
52,0.2086,7,False,0,14,64.0,164.7,3,True,0.035,0.0067,0.0112,0.0,0.0473,0.7,0.0,0.0,0.0172,0.0225,0.0009,0.0082,0.0001,0.0173,0.0001,0.0,0.0,0.0,0.0115,0.035,0.0002,0.8427,0.878
53,0.4361,8,True,3,14,117.5,289.8,6,True,0.0639,0.0123,0.0121,0.0,0.0841,0.8,12.9321,15.119,0.0339,0.045,0.0017,0.0157,0.0001,0.0348,0.0002,4.5357,1.0098,1.7748,0.0159,1.8387,19.6551,14.9974,36.4912
54,0.4059,9,True,1,90,110.4,273.3,6,True,0.06,0.0116,0.012,0.0,0.0901,0.9,4.0627,30.5449,0.0351,0.045,0.0018,0.0158,0.0001,0.0369,0.0002,9.1635,2.0399,3.5857,0.0162,3.6457,39.7087,7.2673,50.6217
55,0.3722,4,True,3,30,102.5,254.7,5,True,0.0558,0.0108,0.0118,0.0,0.0378,0.4,11.3563,28.473,0.0181,0.0375,0.0008,0.01,0.0001,0.0153,0.0001,8.5419,1.9016,3.3425,0.0117,3.3982,37.0151,13.8116,54.225
56,0.445,4,True,1,90,119.6,294.7,6,False,0.065,0.0126,0.0122,0.0,0.0426,0.4,4.384,32.9454,0.021,0.045,0.0,0.0116,0.0001,0.0177,0.0001,9.8836,2.2003,3.8675,0.0125,3.9325,42.8293,7.1593,53.9211
57,0.799,8,False,0,30,202.8,489.4,11,False,0.1099,0.0213,0.0136,0.0,0.132,0.8,0.0,0.0,0.0577,0.0825,0.0,0.0268,0.0001,0.0587,0.0004,0.0,0.0001,0.0,0.0221,0.1099,0.0005,1.2149,1.3253
58,0.3268,1,True,3,90,91.8,229.8,4,True,0.05,0.0096,0.0117,0.0,0.0087,0.1,10.2359,77.0472,0.0083,0.03,0.0002,0.0064,0.0001,0.0034,0.0,23.1142,5.1455,9.0447,0.0092,9.0947,100.1616,15.5689,124.8251
59,0.6937,4,False,0,14,178.0,431.5,10,True,0.0965,0.0187,0.0132,0.0,0.059,0.4,0.0,0.0,0.0311,0.075,0.0013,0.0172,0.0001,0.0259,0.0002,0.0,0.0001,0.0,0.0151,0.0965,0.0003,0.6566,0.7534
60,0.1634,9,False,0,7,53.4,139.9,2,True,0.0293,0.0056,0.011,0.0,0.0541,0.9,0.0,0.0,0.0177,0.015,0.0009,0.0079,0.0001,0.0189,0.0001,0.0,0.0,0.0,0.0116,0.0293,0.0002,1.0428,1.0723
61,0.433,12,True,2,7,116.8,288.2,6,True,0.0635,0.0123,0.0121,0.0,0.1255,1.2,8.5713,5.0106,0.0469,0.045,0.0026,0.02,0.0001,0.0519,0.0003,1.5032,0.3347,0.5882,0.0193,0.6517,6.5142,10.4415,17.6074
62,0.5326,7,True,2,14,140.1,342.9,7,True,0.0761,0.0147,0.0125,0.0,0.0847,0.7,10.2091,11.9248,0.0363,0.0525,0.0018,0.0174,0.0001,0.036,0.0002,3.5774,0.7965,1.3999,0.0165,1.476,15.5026,11.978,28.9565
63,0.6172,5,False,0,14,160.1,389.5,9,True,0.0869,0.0168,0.0129,0.0,0.0675,0.5,0.0,0.0,0.0325,0.0675,0.0015,0.0169,0.0001,0.0292,0.0002,0.0,0.0001,0.0,0.0155,0.0869,0.0003,0.7603,0.8475
64,0.6422,6,True,3,7,165.9,403.2,9,False,0.09,0.0174,0.013,0.0,0.0835,0.6,18.0211,10.5172,0.0382,0.0675,0.0,0.019,0.0001,0.0363,0.0002,3.1552,0.7025,1.2346,0.017,1.3247,13.6727,19.6155,34.6128
65,0.6587,9,False,0,90,169.8,412.3,9,True,0.0921,0.0178,0.0131,0.0,0.1276,0.9,0.0,0.0,0.0532,0.0675,0.0028,0.0241,0.0001,0.0557,0.0003,0.0,0.0001,0.0,0.0209,0.0921,0.0005,1.2828,1.3754
66,0.4303,7,True,2,7,116.1,286.6,6,True,0.0631,0.0122,0.0121,0.0,0.0729,0.7,8.5258,4.9841,0.0303,0.045,0.0015,0.0145,0.0001,0.0301,0.0002,1.4952,0.3329,0.5851,0.0149,0.6482,6.4796,9.7922,16.92
67,0.4075,1,False,0,90,110.8,274.1,6,True,0.0602,0.0116,0.012,0.0,0.01,0.1,0.0,0.0,0.0102,0.045,0.0002,0.0077,0.0001,0.0041,0.0,0.0,0.0001,0.0,0.0097,0.0602,0.0001,0.2105,0.2709
68,0.6716,7,False,0,30,172.8,419.4,10,True,0.0938,0.0181,0.0131,0.0,0.1008,0.7,0.0,0.0,0.0446,0.075,0.0022,0.0214,0.0001,0.044,0.0003,0.0,0.0001,0.0,0.0187,0.0938,0.0004,1.0381,1.1322
69,0.4617,5,True,4,14,123.5,304.0,6,False,0.0671,0.013,0.0122,0.0,0.0547,0.5,18.0877,21.1408,0.0251,0.045,0.0,0.0131,0.0001,0.0228,0.0001,6.3422,1.4119,2.4817,0.0136,2.5489,27.4833,20.1991,50.2312
70,0.2449,9,True,2,30,72.5,184.7,3,True,0.0396,0.0076,0.0113,0.0,0.0662,0.9,5.4751,13.7619,0.0235,0.0225,0.0012,0.0106,0.0001,0.0249,0.0001,4.1286,0.9191,1.6155,0.0132,1.6551,17.8908,7.4753,27.0212
71,0.2733,11,False,0,14,79.2,200.3,4,False,0.0432,0.0083,0.0114,0.0,0.0861,1.1,0.0,0.0,0.0302,0.03,0.0,0.013,0.0001,0.0331,0.0002,0.0,0.0,0.0,0.0149,0.0432,0.0003,1.3271,1.3706
72,0.3161,12,True,3,14,89.3,223.9,4,False,0.0486,0.0094,0.0116,0.0,0.1024,1.2,9.9712,11.6774,0.0363,0.03,0.0,0.0154,0.0001,0.0403,0.0002,3.5032,0.7799,1.3708,0.0165,1.4195,15.1811,12.213,28.8135
73,0.5994,8,True,3,7,155.9,379.7,8,False,0.0846,0.0164,0.0128,0.0,0.1056,0.8,16.9644,9.903,0.0446,0.06,0.0,0.0207,0.0001,0.0456,0.0003,2.9709,0.6614,1.1625,0.0187,1.2471,12.8743,18.7502,32.8717
74,0.5285,5,True,3,90,139.2,340.7,7,True,0.0756,0.0146,0.0125,0.0,0.0602,0.5,15.2132,114.2392,0.0282,0.0525,0.0013,0.0147,0.0001,0.0256,0.0002,34.2718,7.6293,13.4107,0.0144,13.4863,148.5113,23.5665,185.5641
75,0.6381,6,True,4,14,165.0,401.0,9,True,0.0895,0.0173,0.013,0.0,0.0831,0.6,23.8917,27.8871,0.038,0.0675,0.0018,0.0189,0.0001,0.0361,0.0002,8.3661,1.8625,3.2737,0.017,3.3632,36.2536,26.6467,66.2635
76,0.4145,3,False,0,14,112.4,278.0,6,False,0.0611,0.0118,0.012,0.0,0.0305,0.3,0.0,0.0,0.0167,0.045,0.0,0.0099,0.0001,0.0125,0.0001,0.0,0.0001,0.0,0.0114,0.0611,0.0002,0.4498,0.5111
77,0.5317,12,False,0,30,140.0,342.4,7,False,0.076,0.0147,0.0125,0.0,0.1451,1.2,0.0,0.0,0.0558,0.0525,0.0,0.0238,0.0001,0.0616,0.0004,0.0,0.0001,0.0,0.0216,0.076,0.0005,1.5877,1.6643
78,0.6251,11,True,2,30,161.9,393.8,9,True,0.0879,0.017,0.0129,0.0,0.1499,1.1,11.7323,29.3471,0.0598,0.0675,0.0032,0.026,0.0001,0.065,0.0004,8.8041,1.96,3.4451,0.0227,3.5329,38.1517,15.2163,56.901
79,0.4381,11,False,0,14,118.0,291.0,6,False,0.0641,0.0124,0.0121,0.0,0.116,1.1,0.0,0.0,0.044,0.045,0.0,0.0191,0.0001,0.048,0.0003,0.0,0.0001,0.0,0.0186,0.0641,0.0004,1.4153,1.4798
80,0.5914,4,True,1,14,154.0,375.2,8,True,0.0836,0.0162,0.0128,0.0,0.0523,0.4,5.5883,6.5248,0.0269,0.06,0.0011,0.0149,0.0001,0.0225,0.0001,1.9574,0.4358,0.766,0.0141,0.8495,8.4825,6.6449,15.9768
81,0.3676,4,True,3,7,101.4,252.2,5,True,0.0552,0.0106,0.0118,0.0,0.0375,0.4,11.2425,6.5776,0.0179,0.0375,0.0008,0.0099,0.0001,0.0151,0.0001,1.9733,0.4393,0.7721,0.0117,0.8273,8.5511,12.2347,21.6131
82,0.4274,11,False,0,30,115.4,285.1,6,False,0.0628,0.0121,0.0121,0.0,0.114,1.1,0.0,0.0,0.0432,0.045,0.0,0.0187,0.0001,0.047,0.0003,0.0,0.0001,0.0,0.0183,0.0628,0.0004,1.4105,1.4737
83,0.4237,7,False,0,14,114.6,283.0,6,True,0.0623,0.012,0.0121,0.0,0.0721,0.7,0.0,0.0,0.0299,0.045,0.0015,0.0143,0.0001,0.0297,0.0002,0.0,0.0001,0.0,0.0148,0.0623,0.0003,0.9315,0.9941
84,0.2608,9,True,4,14,76.3,193.5,3,True,0.0416,0.008,0.0114,0.0,0.0686,0.9,11.4758,13.4554,0.0246,0.0225,0.0013,0.0111,0.0001,0.0261,0.0002,4.0366,0.8986,1.5795,0.0135,1.6212,17.4923,13.4615,32.5749
85,0.5974,6,True,4,7,155.4,378.6,8,False,0.0843,0.0163,0.0128,0.0,0.079,0.6,22.5521,13.165,0.0358,0.06,0.0,0.0178,0.0001,0.0341,0.0002,3.9495,0.8793,1.5455,0.0164,1.6298,17.1149,24.3036,43.0483
86,0.4061,6,False,0,14,110.4,273.4,6,False,0.0601,0.0116,0.012,0.0,0.0601,0.6,0.0,0.0,0.0258,0.045,0.0,0.0128,0.0001,0.0246,0.0001,0.0,0.0001,0.0,0.0138,0.0601,0.0003,0.8056,0.866
87,0.5025,8,False,0,14,133.1,326.4,7,False,0.0723,0.014,0.0124,0.0,0.0928,0.8,0.0,0.0,0.0383,0.0525,0.0,0.0178,0.0001,0.0392,0.0002,0.0,0.0001,0.0,0.017,0.0723,0.0004,1.0841,1.1567
88,0.5961,10,True,1,14,155.1,377.9,8,True,0.0842,0.0163,0.0128,0.0,0.1315,1.0,5.6278,6.5706,0.053,0.06,0.0028,0.0235,0.0001,0.0567,0.0003,1.9712,0.4389,0.7713,0.0209,0.8555,8.5423,7.4442,16.842
89,0.5893,5,True,4,7,153.5,374.1,8,False,0.0833,0.0161,0.0128,0.0,0.0652,0.5,22.2859,13.0103,0.0311,0.06,0.0,0.0162,0.0001,0.0281,0.0002,3.9031,0.869,1.5273,0.0152,1.6106,16.9137,23.8995,42.4239
90,0.6331,10,False,0,7,163.8,398.2,9,True,0.0889,0.0172,0.0129,0.0,0.1376,1.0,0.0,0.0,0.056,0.0675,0.003,0.0248,0.0001,0.0597,0.0004,0.0,0.0001,0.0,0.0217,0.0889,0.0005,1.4004,1.4898
91,0.4803,3,True,1,14,127.9,314.2,7,True,0.0695,0.0134,0.0123,0.0,0.0337,0.3,4.6747,5.4627,0.0189,0.0525,0.0007,0.0112,0.0001,0.0141,0.0001,1.6388,0.3649,0.6413,0.012,0.7108,7.1018,5.5084,13.3209
92,0.4153,5,True,2,7,112.6,278.4,6,True,0.0612,0.0118,0.012,0.0,0.0508,0.5,8.2803,4.8415,0.0231,0.045,0.001,0.012,0.0001,0.0209,0.0001,1.4524,0.3234,0.5683,0.013,0.6296,6.2942,9.2934,16.2172
93,0.4841,11,True,4,30,128.8,316.2,7,False,0.07,0.0135,0.0123,0.0,0.1243,1.1,18.8221,47.1311,0.048,0.0525,0.0,0.0208,0.0001,0.0522,0.0003,14.1393,3.1476,5.5328,0.0196,5.6027,61.2708,23.4129,90.2865
94,0.1625,12,True,2,90,53.2,139.4,2,False,0.0292,0.0056,0.011,0.0,0.072,1.2,4.1204,31.1627,0.0224,0.015,0.0,0.0095,0.0001,0.0251,0.0002,9.3488,2.0812,3.6582,0.0129,3.6874,40.5119,7.5749,51.7741
95,0.2106,12,False,0,14,64.5,165.8,3,False,0.0352,0.0068,0.0112,0.0,0.0815,1.2,0.0,0.0,0.0268,0.0225,0.0,0.0113,0.0001,0.0298,0.0002,0.0,0.0,0.0,0.014,0.0352,0.0003,1.4039,1.4395
96,0.2355,4,False,0,90,70.3,179.5,3,True,0.0384,0.0074,0.0113,0.0,0.0288,0.4,0.0,0.0,0.0126,0.0225,0.0005,0.0069,0.0001,0.0108,0.0001,0.0,0.0,0.0,0.0103,0.0384,0.0002,0.5111,0.5497
97,0.3006,11,False,0,7,85.6,215.3,4,True,0.0467,0.009,0.0115,0.0,0.091,1.1,0.0,0.0,0.0324,0.03,0.0018,0.014,0.0001,0.0355,0.0002,0.0,0.0001,0.0,0.0155,0.0467,0.0003,1.3409,1.3879
98,0.58,12,False,0,7,151.3,369.0,8,True,0.0821,0.0159,0.0127,0.0,0.1546,1.2,0.0,0.0,0.0602,0.06,0.0033,0.0257,0.0001,0.0664,0.0004,0.0,0.0001,0.0,0.0228,0.0821,0.0005,1.6217,1.7044
